1;0;0;62
6;0;1;96
22;0;0;63
37;0;1;47
40;0;1;94
44;0;1;40
48;0;1;14
49;0;1;28
56;0;1;0
69;0;1;85
70;0;0;78
75;0;1;97
81;0;0;31
84;0;1;64
86;0;1;48
87;0;1;49
89;0;1;86
94;0;1;1
97;0;1;4
101;0;1;90
102;0;0;87
113;0;0;55
125;0;1;91
127;0;1;29
128;0;1;5
134;0;1;98
144;0;1;41
154;0;1;79
157;0;1;22
158;0;0;16
160;0;0;74
163;0;1;34
172;0;0;88
174;0;0;80
183;0;0;81
185;0;1;42
195;0;1;53
198;0;1;99
199;0;1;6
201;0;1;69
203;0;1;2
217;0;0;17
222;0;1;24
232;0;1;18
239;0;0;92
242;0;1;82
243;0;0;23
250;0;1;19
256;0;1;75
257;0;0;20
261;0;1;21
262;0;1;12
266;0;1;25
268;0;1;26
270;0;1;7
272;0;1;43
273;0;1;8
279;0;1;13
280;0;1;70
281;0;1;37
284;0;1;44
286;0;1;65
290;0;1;95
293;0;0;76
298;0;1;38
299;0;0;56
303;0;1;27
304;0;1;39
308;0;0;93
312;0;1;3
321;0;1;32
324;0;1;57
330;0;0;77
332;0;0;83
333;0;1;35
336;0;1;30
341;0;0;58
344;0;1;54
346;0;1;66
355;0;1;45
359;0;1;67
362;0;1;9
388;0;1;50
392;0;1;51
397;0;1;71
401;0;1;59
409;0;0;60
411;0;1;68
414;0;1;84
418;0;1;36
421;0;1;72
430;0;1;10
435;0;0;89
438;0;1;33
441;0;0;46
448;0;1;15
454;0;1;52
457;0;1;61
462;0;1;11
470;0;1;73
1;1;0;62
6;1;1;96
22;1;0;63
37;1;1;47
40;1;1;94
44;1;1;40
48;1;1;14
49;1;1;28
56;1;1;0
69;1;1;85
70;1;0;78
75;1;1;97
81;1;0;31
84;1;1;64
86;1;1;48
87;1;1;49
89;1;1;86
94;1;1;1
97;1;1;4
101;1;1;90
102;1;0;87
113;1;0;55
125;1;1;91
127;1;1;29
128;1;1;5
134;1;1;98
144;1;1;41
154;1;1;79
157;1;1;22
158;1;0;16
160;1;0;74
163;1;1;34
172;1;0;88
174;1;0;80
183;1;0;81
185;1;1;42
195;1;1;53
198;1;1;99
199;1;1;6
201;1;1;69
203;1;1;2
217;1;0;17
222;1;1;24
232;1;1;18
239;1;1;92
242;1;1;82
243;1;1;23
250;1;1;19
256;1;1;75
257;1;1;20
261;1;1;21
262;1;1;12
266;1;1;25
268;1;1;26
270;1;1;7
272;1;1;43
273;1;1;8
279;1;1;13
280;1;1;70
281;1;1;37
284;1;1;44
286;1;1;65
290;1;1;95
293;1;0;76
298;1;1;38
299;1;0;56
303;1;1;27
304;1;1;39
308;1;0;93
312;1;1;3
321;1;1;32
324;1;1;57
