0;143325
1;122620
2;128329
3;116524
4;127933
5;123925
6;121315
7;137633
8;106319
9;106016
10;111413
11;135528
12;148032
13;124422
14;114924
15;123420
16;111716
17;146331
18;129432
19;143527
20;116120
21;129028
22;123117
23;106521
24;108828
25;133625
26;103414
27;140117
28;127630
29;137128
30;137027
31;141422
32;148941
33;139233
34;140420
35;131621
36;133019
37;109325
38;118528
39;120212
40;126628
41;103818
42;135225
43;133827
44;120515
45;122317
46;131722
47;130922
48;149741
49;147737
50;144226
51;108525
52;110411
53;135932
54;130316
55;114419
56;118932
57;111312
58;119833
59;136833
60;117324
61;137936
62;130013
63;117122
64;134324
65;133928
66;115320
67;103515
68;125525
69;141826
70;126325
71;139637
72;124826
