0;113821
1;123925
2;110411
3;136227
4;142828
5;129432
6;131217
7;118730
8;121618
9;133625
10;103414
11;145531
12;133019
13;118528
14;135225
15;111312
16;147737
17;144226
18;135932
19;133827
20;137936
21;134324
22;113215
23;146432
24;135528
25;144428
26;143325
27;122620
28;111716
29;137633
30;111413
31;148032
32;146331
33;143527
34;123117
35;129533
36;137128
37;141422
38;138534
39;131924
40;123420
41;130316
42;117324
43;130013
44;117122
45;126325
46;103515
47;141826
48;139637
49;127933
50;128329
51;116524
52;121315
53;132118
54;126931
55;116120
56;127630
57;137027
58;118932
59;139233
60;140420
61;126628
62;112819
63;131722
64;130922
65;140117
66;108525
67;119833
68;128632
69;114924
70;115320
71;125525
72;124826
73;108828
74;106319
75;106016
76;113922
77;124422
78;129028
79;106521
80;124220
81;131621
82;109325
83;120212
84;136833
85;103818
86;120515
87;149741
88;114419
89;122317
90;145834
91;133928
92;149337
93;148941
